Date,Campaign name,Ad group name,Spend in account currency,Impressions,Reach,Outbound clicks,Saves,Engagements,Total conversions (Checkout),Total order value (Checkout)
2026-06-20,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,3.55,228,194,0,0,0,0,0
2026-06-20,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,1.08,157,124,2,0,2,0,0
2026-06-20,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,2.86,183,145,2,0,2,0,0
2026-06-20,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,2.32,175,146,3,0,7,0,0
2026-06-20,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.99,154,123,1,0,1,0,0
2026-06-20,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.46,32,28,0,0,0,0,0
2026-06-20,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,4.23,548,501,6,0,6,0,0
2026-06-20,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.24,47,42,0,0,0,0,0
2026-06-20,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.88,119,97,1,0,1,0,0
2026-06-20,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.16,15,13,0,0,0,0,0
2026-06-21,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,5.49,313,280,5,0,5,0,0
2026-06-21,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,3.48,333,297,2,0,2,0,0
2026-06-21,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.93,202,185,0,0,0,0,0
2026-06-21,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.91,84,79,0,0,0,0,0
2026-06-21,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,1.62,96,89,2,0,5,0,0
